Year,Date,Tournament,Site,State,Winner,Tournament_URL
2016,September 8-11 2016,Bassmaster Elite at Mississippi River,Mississippi River,WI,Ott Defoe,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2016
2016,August 11-14 2016,Bassmaster Elite at Potomac River,Potomac River,MD,Justin Lucas,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2016
2016,June 23-26 2016,Bassmaster Elite at Cayuga Lake,Cayuga Lake,NY,Kevin VanDam,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2016
2016,June 8-12 2016,2016 Bassmaster BASSfest,Lake Texoma,OK,Greg Hackney,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2016
2016,May 12-15 2016,Bassmaster Elite at Toledo Bend,Toledo Bend,LA,Kevin VanDam,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2016
2016,April 28-1 2016,Bassmaster Elite at Wheeler Lake,Wheeler Lake,AL,Takahiro Omori,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2016
2016,April 21-24 2016,Bassmaster Elite at Bull Shoals/Norfork,Bull Shoals/Norfolk,AR,Randall Tharp,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2016
2016,April 7-10 2016,Bassmaster Elite at Winyah Bay,Winyah Bay,SC,Britt Myers,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2016
2016,March 17-20 2016,Bassmaster Elite at St. Johns River,St. Johns River,FL,Rick Clunn,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2016
2016,March 4-6 2016,2016 GEICO Bassmaster Classic,Grand Lake O' the Cherokees,OK,Edwin Evers,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2016
2015,September 17-20 2015,Elite Series Tournament: Toyota Bassmaster AOY Championship,Sturgeon Bay,WI,Chris Zaldain,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2015
2015,August 27-30 2015,Elite Series Tournament: Lake St. Clair,Lake St. Clair,MI,Todd Faircloth,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2015
2015,August 13-16 2015,Elite Series Tournament: Chesapeake Bay,Chesapeake Bay,MD,Aaron Martens,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2015
2015,July 30-2 2015,Elite Series Tournament: St. Lawrence River,St. Lawrence River,NY,Edwin Evers,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2015
2015,June 3-7 2015,Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,Kentucky Lake,KY,Edwin Evers,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2015
2015,May 7-10 2015,Elite Series Tournament: Lake Havasu,Lake Havasu,AZ,Aaron Martens,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2015
2015,April 30-3 2015,Elite Series Tournament: Sacramento River,Sacramento River,CA,Justin Lucas,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2015
2015,April 9-12 2015,Elite Series Tournament: Lake Guntersville,Lake Guntersville,AL,Skeet Reese,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2015
2015,March 19-22 2015,Elite Series Tournament: Sabine River,Sabine River,TX,Chris Lane,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2015
2015,February 20-22 2015,2015 GEICO Bassmaster Classic,Lake Hartwell,SC,Casey Ashley,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2015
2015,February 7-10 2015,Bassmaster Elite Series at Delaware River,Delaware River,PA,Michael Iaconelli,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2015
2014,September 18-21 2014,Bassmaster Elite Series AOY Championship,Bays de Noc,MI,Jacob Powroznik,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2014
2014,August 21-24 2014,Bassmaster Elite Series at Cayuga Lake,Cayuga Lake,NY,Greg Hackney,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2014
2014,June 11-15 2014,Bassmaster BASSFest at Chickamauga Lake,Chickamauga Lake,TN,Kevin VanDam,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2014
2014,May 15-18 2014,Bassmaster Elite Series at Lake Dardanelle,Lake Dardanelle,AR,Jason Christie,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2014
2014,May 1-4 2014,Bassmaster Elite Series at Toledo Bend,Toledo Bend,LA,Jacob Powroznik,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2014
2014,April 3-6 2014,Bassmaster Elite Series at Table Rock Lake,Table Rock Lake,MO,Mike McClelland,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2014
2014,March 20-23 2014,Bassmaster Elite Series at St. Johns River,St. Johns River,FL,Chris Lane,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2014
2014,March 13-16 2014,Bassmaster Elite Series at Lake Seminole,Lake Seminole,GA,Brett Hite,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2014
2014,February 21-23 2014,Bassmaster Classic 2014,Lake Guntersville,AL,Randy Howell,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2014
2013,August 22-25 2013,Plano Championship Chase,Lake St. Clair,MI,Chris Lane,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2013
2013,August 8-11 2013,St. Lawrence River Showdown,St. Lawrence River,NY,Brandon Palaniuk,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2013
2013,June 20-23 2013,Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,Mississippi River,WI,Tommy Biffle,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2013
2013,May 9-12 2013,Alabama River Charge presented by Star brite,Alabama River,AL,Edwin Evers,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2013
2013,May 2-5 2013,West Point Lake Battle,West Point Lake,GA,Skeet Reese,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2013
2013,April 19-21 2013,Ramada Quest,Bull Shoals/Norfolk,AR,Jason Christie,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2013
2013,March 21-25 2013,Falcon Slam,Falcon Lake,TX,Keith Combs,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2013
